deviceisbot,screensize,published,published_dt,sessionid,environmentid,type,devicetype,useragent,objecttype,eventname,event_id
true,"360x640","2021-12-20T02:04:13+00:00",2021-12-20 02:04:13.000,,sdrn:schibsted:environment:b236bf48-db22-407e-85bb-899583f3bd51,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"94d0265e-45e5-49d6-9f5e-7c52f6ae40cd"
true,"1024x768","2021-12-20T02:16:30+00:00",2021-12-20 02:16:30.000,,sdrn:schibsted:environment:095788ea-cf1e-4c7e-a2c7-fbfc37dfbaaf,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,e01f14df-41b3-4f05-86dc-5f0569c0899a
true,"1024x768","2021-12-20T02:16:41+00:00",2021-12-20 02:16:41.000,,sdrn:schibsted:environment:039802f2-7ee1-4175-aa9a-71c2d8157e98,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,ae030e33-196f-4957-8a73-9fc5f9d4df24
true,"1024x768","2021-12-20T02:16:41+00:00",2021-12-20 02:16:41.000,,sdrn:schibsted:environment:a255177d-cd8c-4c29-b479-df4a48cafedb,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,da046020-657a-4e94-960d-552941a328e2
true,"1024x768","2021-12-20T02:16:43+00:00",2021-12-20 02:16:43.000,,sdrn:schibsted:environment:4449bfc9-ea4a-4ea7-a6f2-c073fe9dd0d1,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"95de1877-997e-4b3d-a8cf-1fb9e13a6209"
true,"1024x768","2021-12-20T02:16:44+00:00",2021-12-20 02:16:44.000,,sdrn:schibsted:environment:2e6907c1-965d-4534-92cd-615a4868b564,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"0f3b575e-33b0-42a2-89cc-0b98906c8b2f"
true,"1024x768","2021-12-20T02:16:45+00:00",2021-12-20 02:16:45.000,,sdrn:schibsted:environment:070ad0f8-781c-43f7-8c69-f8dd02295c93,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,fd95d180-ab04-4fa7-9d12-e968cfb34ea2
true,"1024x768","2021-12-20T02:16:54+00:00",2021-12-20 02:16:54.000,,sdrn:schibsted:environment:92f500fb-cd7c-45d2-8242-c331bb214907,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"22937d32-202b-4d1a-b9f2-5e5252a231f7"
true,"1024x768","2021-12-20T02:17:36+00:00",2021-12-20 02:17:36.000,,sdrn:schibsted:environment:283de673-fe67-4429-b30f-43c632bb9ffe,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,e07cc700-58e6-4d7f-8cbc-b92c04a3ad97
true,"360x640","2021-12-20T02:35:28+00:00",2021-12-20 02:35:28.000,,sdrn:schibsted:environment:95933670-57cb-49e0-b50a-bfa5087a06d0,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,d410f875-749b-40e1-8e28-e3ddd28dd1f5
true,"360x640","2021-12-20T02:36:21+00:00",2021-12-20 02:36:21.000,,sdrn:schibsted:environment:e91900dc-3628-4a6c-a30f-ec4bb8beb204,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,edd4723e-6c37-4a48-b1f0-ddb16dc4a78d
true,"360x640","2021-12-20T02:37:06+00:00",2021-12-20 02:37:06.000,,sdrn:schibsted:environment:194a1587-e2b8-4496-8598-e794bbcc9886,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,a5753753-cbf8-48b0-9e82-620a3d753ee1
true,"360x640","2021-12-20T03:08:24+00:00",2021-12-20 03:08:24.000,,sdrn:schibsted:environment:7a448ff1-02b0-44f8-941b-088b9de71bf5,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,df3f2088-862c-437b-9044-0409af1081e9
true,"360x640","2021-12-20T03:09:20+00:00",2021-12-20 03:09:20.000,,sdrn:schibsted:environment:8465ba75-686e-419f-9c00-8f866edc30a0,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,e53beedd-8946-4342-a30f-7925206f976c
true,"360x640","2021-12-20T03:10:05+00:00",2021-12-20 03:10:05.000,,sdrn:schibsted:environment:aa95c7ce-0ab6-4c67-8bde-bd243bc683e2,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"5ae4ec7a-3cfb-4592-9924-68515daa5d57"
true,"1024x768","2021-12-20T03:17:48+00:00",2021-12-20 03:17:48.000,,sdrn:schibsted:environment:1fc1863a-a31e-4f8f-b6ea-eee8142c1e52,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,d247b69f-35a1-4833-99cc-0c8c136ab5c2
true,"1024x768","2021-12-20T03:18:00+00:00",2021-12-20 03:18:00.000,,sdrn:schibsted:environment:890940c2-727e-4a09-8ffc-1d517c2d51a9,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"7c770ede-e85a-4ed6-a810-ac31e70165de"
true,"1024x768","2021-12-20T03:18:01+00:00",2021-12-20 03:18:01.000,,sdrn:schibsted:environment:edc8cd0c-29a1-467b-83f3-17fb8c95698a,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"60c4f545-8547-491f-aace-ec4ffd8950b3"
true,"1024x768","2021-12-20T03:18:01+00:00",2021-12-20 03:18:01.000,,sdrn:schibsted:environment:e90e403e-8263-4571-bae9-646df1e8d6b0,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,ac33a1d3-2ed0-43a5-85fb-005a7c6fc646
true,"1024x768","2021-12-20T03:18:01+00:00",2021-12-20 03:18:01.000,,sdrn:schibsted:environment:9a1ce5dd-9b64-4b05-a4c2-c9713beb1a25,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,b2490b9d-db7f-4c8f-8d7b-c8f8613528f9
true,"1024x768","2021-12-20T03:18:03+00:00",2021-12-20 03:18:03.000,,sdrn:schibsted:environment:def6b8f5-0070-40dd-8519-34839108fc81,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,a2f72382-c73a-46f0-85b6-ecf6bb02480a
true,"1024x768","2021-12-20T03:18:07+00:00",2021-12-20 03:18:07.000,,sdrn:schibsted:environment:e432dd16-6d6a-4003-8749-55598de31144,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,ecc4e924-5f07-4ca0-8cbd-e488c2bad49e
true,"1024x768","2021-12-20T03:18:08+00:00",2021-12-20 03:18:08.000,,sdrn:schibsted:environment:e432dd16-6d6a-4003-8749-55598de31144,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,ecc4e924-5f07-4ca0-8cbd-e488c2bad49e
true,"1024x768","2021-12-20T03:18:12+00:00",2021-12-20 03:18:12.000,,sdrn:schibsted:environment:f50b854c-b1be-45b4-a7e4-12b7534a0507,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,c535596c-cc90-485c-92ca-c93d1fbc156d
true,"360x640","2021-12-20T03:41:19+00:00",2021-12-20 03:41:19.000,,sdrn:schibsted:environment:69d531da-1e61-4cc9-a890-98c3c6b2ed41,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"4f01af3f-e899-4d3c-af5c-f38205dae977"
true,"360x640","2021-12-20T03:42:14+00:00",2021-12-20 03:42:14.000,,sdrn:schibsted:environment:4e4ff0e2-0c39-48ee-944c-aaf822c8f2db,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"9352db02-145c-4190-af78-18e0620e3099"
true,"360x640","2021-12-20T03:42:57+00:00",2021-12-20 03:42:57.000,,sdrn:schibsted:environment:5778cc49-495c-4fb0-9474-0deb944b09b2,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"0258ff34-6c7d-4625-b7c4-bf5e00b382a6"
true,"360x640","2021-12-20T04:14:13+00:00",2021-12-20 04:14:13.000,,sdrn:schibsted:environment:c25d0514-386d-420d-a5f0-c827dd96caf9,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,bdc05e79-60f0-4440-9060-4b0e7022b74e
true,"360x640","2021-12-20T04:15:08+00:00",2021-12-20 04:15:08.000,,sdrn:schibsted:environment:d8e575c5-fd51-421a-9949-32f5e2290dcf,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"27d266bf-cbf0-4c5e-a443-d9b1f3e7d423"
true,"360x640","2021-12-20T04:15:55+00:00",2021-12-20 04:15:55.000,,sdrn:schibsted:environment:9d5abab4-fc67-4b44-9920-d5beb107bc02,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,fe42fb91-27ad-4d78-8635-32aa713b4d99
true,"1024x768","2021-12-20T04:18:32+00:00",2021-12-20 04:18:32.000,,sdrn:schibsted:environment:fe498f08-2268-4c07-b918-d8ff638953e8,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"9ce4e9dd-b121-4ea3-864a-cd1e1d92e942"
true,"1024x768","2021-12-20T04:18:33+00:00",2021-12-20 04:18:33.000,,sdrn:schibsted:environment:6198fe89-b47d-4a3b-9ac7-e89dbc75cbd0,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"99961f82-d17a-4377-a32e-e7f900b0e90c"
true,"1024x768","2021-12-20T04:18:34+00:00",2021-12-20 04:18:34.000,,sdrn:schibsted:environment:18f2ae33-606b-4292-8d1b-609a9bb0206c,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"07ee971d-b236-467a-9378-d8ddef5c1639"
true,"1024x768","2021-12-20T04:18:34+00:00",2021-12-20 04:18:34.000,,sdrn:schibsted:environment:730785b6-f640-4966-8558-b2f622a1b64e,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,bc9f9fdd-4f99-4f30-9eb7-bebf3ae0d95c
true,"1024x768","2021-12-20T04:18:34+00:00",2021-12-20 04:18:34.000,,sdrn:schibsted:environment:9489d8d3-39b4-4070-ae98-9a441ad8bf92,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,c73af41d-815e-4f68-a70c-5d1cdb7b7967
true,"1024x768","2021-12-20T04:18:35+00:00",2021-12-20 04:18:35.000,,sdrn:schibsted:environment:8e33b3e5-bb42-4cdc-acd6-d2632e0e6f38,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,a00d65d2-ee27-4f6c-bc90-af42268fb3de
true,"1024x768","2021-12-20T04:18:35+00:00",2021-12-20 04:18:35.000,,sdrn:schibsted:environment:0012d7a1-edfb-4d4e-8b22-f3af4a8e1761,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,b314449c-a79a-4ade-bfdb-f10930fbdfda
true,"1024x768","2021-12-20T04:18:36+00:00",2021-12-20 04:18:36.000,,sdrn:schibsted:environment:13bf53e1-745f-4201-b2a3-d416bdea161a,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"2b40d0d0-d56a-4fde-81f1-3eeaf6e2174b"
